תאריך,מאושפזים,אחוז נשים מאושפזות,גיל ממוצע מאושפזים,סטיית תקן גיל מאושפזים,מונשמים,אחוז נשים מונשמות,גיל ממוצע מונשמים,סטיית תקן גיל מונשמים,חולים קל,אחוז נשים חולות קל,גיל ממוצע חולים קל,סטיית תקן גיל חולים קל,חולים בינוני,אחוז נשים חולות בינוני,גיל ממוצע חולים בינוני,סטיית תקן גיל חולים בינוני,חולים קשה,אחוז נשים חולות קשה,גיל ממוצע חולים קשה,סטיית תקן גיל חולים קשה,חולים קשה מצטבר
11/03/2020,79,36.7,48,17.9,<15,20,64,15,72,37.5,47,17.4,NULL,NULL,NULL,NULL,<15,33.3,67,15.8,<15
12/03/2020,102,40.2,50,18.1,<15,20,64,15,95,41.1,49,17.8,NULL,NULL,NULL,NULL,<15,33.3,67,15.8,<15
13/03/2020,120,39.2,50,18.2,<15,20,64,15,109,39.4,48,17.5,<15,40,68,17.1,<15,33.3,67,15.8,<15
14/03/2020,158,41.1,48,18.4,<15,0,70,6.8,148,41.9,46,17.5,<15,40,68,17.1,<15,20,77,10,<15
15/03/2020,197,44.2,47,18.7,<15,20,74,7.3,182,44.5,45,17.5,<15,42.9,62,16.5,<15,37.5,79,8.9,<15
16/03/2020,217,43.8,47,18.8,<15,16.7,75,6.8,201,44.3,45,17.8,<15,50,59,16.2,<15,30,78,8.4,<15
17/03/2020,249,44.2,47,19.2,<15,16.7,75,6.8,231,45,46,18.4,<15,42.9,56,16.7,<15,27.3,77,8.7,<15
18/03/2020,296,42.6,47,19,<15,16.7,75,6.8,271,43.9,45,18.2,<15,25,59,14.9,<15,30.8,76,9.3,15
19/03/2020,285,41.8,48,19.6,<15,36.4,70,12.8,255,42.7,46,18.8,<15,25,61,13.8,18,38.9,73,12.4,20
20/03/2020,278,42.4,50,19.3,<15,36.4,70,12.8,243,43.6,48,18.9,15,26.7,59,12.6,20,40,71,12,23
21/03/2020,269,41.6,52,19.4,<15,35.7,69,12.4,225,43.1,49,19.3,21,28.6,61,11.5,23,39.1,71,12.9,27
22/03/2020,317,42.3,52,20,21,23.8,66,13.9,252,45.6,49,19.3,32,28.1,65,14,33,30.3,71,14.5,37
23/03/2020,341,42.5,54,20.1,22,27.3,69,12,267,44.6,50,19.4,36,33.3,67,14.8,38,36.8,73,12.7,43
24/03/2020,383,39.9,55,20.4,24,20.8,67,18.5,294,43.2,50,19.9,48,29.2,66,13.7,41,29.3,70,17.7,49
25/03/2020,403,39,55,20.1,26,26.9,65,19.5,305,42.3,51,19.7,53,26.4,65,13.4,45,31.1,70,18.5,54
26/03/2020,452,39.6,55,19.9,29,24.1,63,18.4,336,43.2,51,19.9,66,31.8,64,14.2,50,26,66,18.1,63
27/03/2020,488,39.5,56,19.6,35,22.9,61,19.7,360,43.9,53,19.9,70,27.1,64,13.7,58,27.6,65,18.7,73
28/03/2020,480,37.7,57,19.4,39,20.5,62,19.2,340,42.1,53,19.9,78,23.1,63,13.7,62,32.3,66,18.4,78
29/03/2020,503,36.6,57,19.2,48,16.7,63,17.3,350,41.4,54,19.8,81,24.7,63,14.8,72,26.4,65,16.6,91
30/03/2020,584,36.6,58,19.2,52,15.4,66,14.5,406,41.1,55,19.7,98,25.5,63,16.3,80,27.5,67,15.5,101
31/03/2020,643,35.9,58,19,62,16.1,65,14.3,445,39.6,55,19.2,107,29,64,17.5,91,26.4,67,14.7,116
01/04/2020,734,36.2,59,19.2,70,12.9,66,14.9,491,41.5,56,19.7,137,26.3,66,16,106,24.5,68,15.1,136
02/04/2020,786,37.7,60,19.1,76,15.8,66,14.1,537,43,56,19.8,140,26.4,66,16.2,109,25.7,68,14.3,148
03/04/2020,787,37.7,59,19.5,90,18.9,65,15.2,506,43.7,55,20.1,154,26,66,16,127,28.3,67,15.8,169
04/04/2020,763,37.1,60,19.9,105,19,65,15.7,461,45.1,56,21.1,165,24.2,66,15.8,137,25.5,67,16,184
05/04/2020,800,37,61,19.3,106,18.9,64,15.4,480,44.4,57,20.4,187,27.8,67,15.8,133,23.3,66,15.9,190
06/04/2020,787,37,62,18.5,108,17.6,64,15.8,439,42.4,57,19.3,203,35,68,15.6,145,23.4,66,16,210
07/04/2020,730,37.1,63,18.5,105,20,64,16.1,374,44.1,58,20,198,33.8,68,15.5,158,24.7,66,15.5,227
08/04/2020,677,36.8,63,18.4,114,19.3,65,15.8,320,45,59,20.3,193,32.6,68,15.5,164,25.6,66,15.5,244
09/04/2020,657,38.2,63,19.1,116,19,64,15,306,48.4,59,21.2,187,35.8,69,16.8,164,22,66,15.2,259
10/04/2020,663,38.3,63,18.9,127,20.5,65,15.1,323,48.9,58,20.6,171,33.9,70,16.6,169,22.5,66,14.9,269
11/04/2020,620,38.7,65,18.3,129,19.4,66,14.6,276,48.6,60,20.3,163,38.7,71,15.9,181,23.8,66,15.1,293
12/04/2020,661,39.8,65,18.3,129,18.6,66,14.7,310,46.8,61,20.3,174,43.1,69,16.5,177,24.3,67,15,311
13/04/2020,686,40.5,65,18.9,136,17.6,66,15.7,326,47.9,61,21.1,169,42.6,70,15.9,191,26.2,67,15.7,337
14/04/2020,674,41.8,66,19.1,132,18.9,66,15.7,325,49.5,62,21.8,173,44.5,71,15.4,176,25,67,15.5,343
15/04/2020,668,42.5,65,19.4,123,19.5,66,15.9,329,49.5,62,21.9,169,44.4,71,15.2,170,27.1,68,16.2,357
16/04/2020,674,42.7,65,19.9,124,20.2,66,15.9,345,51.3,61,22.5,160,43.8,71,15.4,169,24.3,67,15.7,366
17/04/2020,643,42,65,19.4,114,17.5,66,15.1,329,49.8,62,22,159,43.4,71,15.4,155,23.9,67,15.2,374
18/04/2020,614,43.2,65,19.7,113,19.5,65,15.5,307,52.1,61,22.5,140,46.4,72,15.4,167,24,66,15.1,388
19/04/2020,608,43.3,65,19.2,114,18.4,65,15,309,51.8,61,21.6,147,48.3,72,15.8,152,21.1,66,14.9,396
20/04/2020,586,43.9,65,19.1,122,19.7,66,15.3,301,52.2,61,21.3,133,48.9,72,15.3,152,23,66,15.5,401
21/04/2020,537,43.4,65,19.2,118,19.5,66,14.8,250,52.8,60,21.6,143,48.3,72,15.5,144,22.2,66,15.4,407
22/04/2020,511,41.1,65,19.1,110,19.1,66,14.6,244,50.8,60,21.3,119,42.9,72,16.3,148,23.6,67,15,415
23/04/2020,484,39.9,65,19.6,113,17.7,67,14.2,235,48.5,60,22.3,104,43.3,72,15.2,145,23.4,67,15.1,420
24/04/2020,455,40.4,65,19.1,108,18.5,68,14.5,205,50.7,59,21.5,106,40.6,71,16.1,144,25.7,69,15.1,427
25/04/2020,432,40.5,66,19,107,15.9,67,14.6,194,50,60,21.5,103,45.6,72,14.9,135,23,68,15.5,430
26/04/2020,427,39.8,65,19.1,110,16.4,67,15.5,197,46.7,60,20.9,89,49.4,72,15.3,141,24.1,67,16.7,437
27/04/2020,405,39.5,66,18.6,101,15.8,68,14.6,187,46.5,61,21.1,87,51.7,73,13.6,131,21.4,68,15.9,439
28/04/2020,383,40.2,65,19.5,100,16,67,15.4,174,48.9,60,22.3,83,50.6,72,14.3,126,21.4,68,16.1,443
29/04/2020,374,41.2,65,19.9,96,16.7,67,15.2,170,51.8,59,22.8,82,43.9,70,14.3,122,24.6,68,17,448
30/04/2020,369,41.2,64,19.9,90,16.7,66,15.3,174,52.3,61,21.7,84,40.5,67,19.6,111,24.3,68,15.8,451
01/05/2020,339,41.6,64,20.2,89,16.9,66,15.7,152,52.6,57,22.5,78,46.2,71,16.3,109,22.9,68,16.1,455
02/05/2020,331,43.5,64,20.2,90,17.8,67,14.3,157,57.3,59,22.4,63,44.4,72,17.4,111,23.4,68,15.8,457
03/05/2020,320,45.3,64,20.6,84,16.7,67,13.8,150,58.7,58,22.8,69,49.3,72,18.2,101,22.8,68,15.5,457
04/05/2020,302,44.4,64,21.5,78,17.9,67,13.8,135,58.5,56,24,70,45.7,71,18.8,97,23.7,68,15.6,458
05/05/2020,266,44,65,21,72,18.1,66,13.9,115,60.9,58,23.6,60,43.3,73,18.8,91,23.1,68,15.8,458
06/05/2020,262,43.5,64,21,70,18.6,66,13.9,114,58.8,57,23.2,60,41.7,73,18.4,88,25,67,15.9,459
07/05/2020,250,45.2,65,20.2,70,18.6,67,13.7,107,59.8,57,22.4,59,45.8,74,18.9,84,26.2,69,14.2,460
08/05/2020,238,45.4,65,20.3,64,20.3,67,13.7,108,57.4,58,22.5,52,51.9,74,16.8,78,24.4,67,16,462
09/05/2020,242,45.9,64,20.6,64,20.3,66,14.9,115,60.9,59,23.1,49,44.9,73,16,78,24.4,66,16.9,463
10/05/2020,239,43.9,64,20.3,66,19.7,65,17.1,115,58.3,59,22.2,50,46,72,16.4,74,20.3,66,17.1,466
11/05/2020,224,44.2,65,20,60,18.3,65,18.2,102,59.8,60,22,53,47.2,73,15.9,69,18.8,66,18,469
12/05/2020,214,43.9,64,20.4,56,21.4,64,18.3,98,56.1,60,22.8,51,47.1,71,17.3,65,23.1,66,17.5,471
13/05/2020,198,43.9,65,20.3,52,23.1,64,17.5,90,56.7,63,22.8,48,45.8,70,17.4,60,23.3,66,17.9,473
14/05/2020,193,44.6,65,20.5,51,23.5,64,17.7,90,58.9,62,23.3,43,44.2,69,17,60,23.3,66,17.8,474
15/05/2020,184,44.6,65,20.6,51,23.5,64,17.7,81,60.5,61,23.5,43,44.2,70,17.4,60,23.3,66,17.8,474
16/05/2020,178,45.5,64,20.9,50,24,64,17.9,79,62,60,23.9,40,45,70,16.9,59,23.7,66,17.9,474
17/05/2020,181,45.9,64,21.1,44,25,64,18.6,89,61.8,61,23.4,38,39.5,69,18.8,54,24.1,66,17.9,476
18/05/2020,168,42.3,64,20.9,42,21.4,64,18.2,75,57.3,61,24,42,38.1,68,17.8,51,23.5,65,18.1,477
19/05/2020,161,42.2,64,19.8,39,20.5,65,17.4,68,58.8,62,21.8,43,32.6,66,18.1,50,28,66,18.4,479
20/05/2020,155,43.2,64,20.1,40,22.5,66,16.4,70,58.6,61,21.7,40,32.5,66,20.5,45,28.9,67,16.7,479
